Changed,code,Field,Time,Point,Q_point,Longitude ,Latitude ,Centroid_bearing,Centroid_distance,Date_sampled,Started_T,Invert_survey_T,Focal_attributes_T,Distribution_T
,W_A_S,Warren A,N/A,S,,,,N/A,N/A,,,,,
,W_A_C,Warren A,N/A,C,,,,288,61.1,,,,,
,W_A_1.1 ,Warren A,1,1,40,,,274,20.05,18/09/2023,10:40,11:42,12:30,13:00
,W_A_1.2,Warren A,1,2,41,,,281,34.67,18/09/2023,12:01,12:17,12:42,12:51
,W_A_2.1,Warren A,2,1,,,,90,79.04,14/08/2023,14:45,15:03,15:15,15:30
,W_A_2.2,Warren A,2,2,,,,43,14.76,14/09/2023,13:01,13:16,13:30,14:04
,W_A_2.3,Warren A,2,3,,,,250,17.7,15/09/2023,12:05,12:28,12:45,12:55
,W_A_2.4,Warren A,2,4,,,,99,64.57,15/09/2023,13:05,13:23,13:34,13:51
,W_A_3.1,Warren A,3,1,,,,284,38.37,03/09/2023,16:12,16:30,16:48,16:54
,W_A_3.2,Warren A,3,2,,,,98,78.28,03/09/2023,17:11,17:47,17:56,18:03
,W_A_3.3,Warren A,3,3,,,,116,16.99,03/09/2023,18:10,18:27,18:45,19:02
,W_B_S,Warren B,N/A,S,,,,N/A,N/A,,,,,
,W_B_C,Warren B,N/A,C,,,,95,43.35,,,,,
,W_B_1.1 ,Warren B,1,1,,,,205,22.47,25/09/2023,09:05,09:23,09:36,10:01
,W_B_1.8,Warren B,1,8,,,,212,48.94,25/09/2023,10:10,10:28,10:40,10:55
,W_B_2.1,Warren B,2,1,,,,169,38.19,01/08/2023,14:18,14:36,15:13,15:22
Y,W_B_2.2,Warren B,2,2,,,,96,25.64,01/08/2023,15:44,16:00,16:10,16:28
,W_B_2.3,Warren B,2,3,,,,26,31.18,01/08/2023,16:43,16:47,16:55,17:41
Y,W_B_2.4,Warren B,2,4,,,,163,14.25,03/08/2023,12:34,12:54,13:03,13:19
Y,W_B_2.5,Warren B,2,5,,,,146,41.42,03/08/2023,13:30,13:39,14:01,14:22
Y,W_B_2.6,Warren B,2,6,,,,61,25.66,03/08/2023,14:38,14:43,14:56,15:09
Y,W_B_2.7,Warren B,2,7,,,,277,3.42,03/09/2023,13:48,14:07,14:13,14:14
Y,W_B_2.9,Warren B,2,9,,,,321,29.37,03/09/2023,14:42,14:58,15:10,15:23
,W_B_3.1,Warren B,3,1,,,,12,20.05,03/08/2023,15:16,15:42,15:50,15:56
,W_B_3.2,Warren B,3,2,,,,58,25.73,03/08/2023,16:06,16:16,16:43,17:18
Y,W_B_3.3,Warren B,3,3,,,,300,15.35,05/09/2023,15:15,15:34,15:46,16:03
,W_B_3.4,Warren B,3,4,,,,176,12.01,05/09/2023,16:10,16:30,16:43,17:00
Y,W_B_3.5,Warren B,3,5,,,,304,50.22,05/09/2023,17:39,18:01,18:16,18:40
,S_S,Stoneyland ,N/A,S,,,,N/A,N/A,,,,,
,S_C,Stoneyland ,N/A,C,,,,26,59.61,,,,,
,S_1.1 ,Stoneyland ,1,1,,,,174,49.96,15/08/2023,10:50,11:05,11:11,11:45
Y,S_1.2,Stoneyland ,1,2,,,,157,6.88,15/08/2023,11:51,12:08,12:17,12:58
,S_2.1,Stoneyland ,2,1,,,,49,19.28,30/08/2023,12:58,13:14,13:23,14:01
,S_2.2,Stoneyland ,2,2,,,,173,36.72,30/08/2023,13:25,13:42,14:16,14:12
,S_2.3,Stoneyland ,2,3,,,,252,20.56,30/08/2023,14:15,14:31,15:03,15:34
,S_2.4,Stoneyland ,2,4,,,,10,14.49,30/08/2023,14:49,15:08,15:45,15:56
Y,S_3.1,Stoneyland ,3,1,,,,128,24.54,07/08/2023,16:40,16:52,17:07,17:21
Y,S_3.2,Stoneyland ,3,2,,,,165,49.71,07/08/2023,17:35,17:50,18:02,18:36
,S_3.3,Stoneyland ,3,3,,,,355,17.95,13/09/2023,16:05,16:22,16:33,16:49
,S_3.4,Stoneyland ,3,4,,,,275,16.55,13/09/2023,17:00,17:16,17:24,17:29
,S_3.5,Stoneyland ,3,5,,,,345,41.15,13/09/2023,17:30,17:45,17:53,18:20
,BP_S,Broadpark,N/A,S,,,,N/A,N/A,,,,,
,BP_C,Broadpark,N/A,C,,,,203,72.52,,,,,
,BP_1.1 ,Broadpark,1,1,,,,12,20.64,16/08/2023,10:53,11:15,11:26,13:35
,BP_1.2,Broadpark,1,2,,,,30.82,58,16/08/2023,11:40,11:55,12:36,14:03
,BP_2.1,Broadpark,2,1,,,,176,19.57,07/08/2023,12:20,12:40,12:49,13:44
,BP_2.2,Broadpark,2,2,,,,45,23.61,07/08/2023,14:05,14:28,15:00,15:57
,BP_2.3,Broadpark,2,3,,,,212,57.01,12/09/2023,13:28,13:45,13:58,14:52
,BP_2.4,Broadpark,2,4,,,,263,16.03,12/09/2023,14:56,15:14,15:27,16:09
,BP_3.1,Broadpark,3,1,,,,46,23.52,05/08/2023,16:45,17:05,17:20,18:08
,BP_3.2,Broadpark,3,2,,,,215,62.54,12/09/2023,16:30,16:48,16:58,17:20
Y,BP_3.3,Broadpark,3,3,,,,285,12.75,26/09/2023,18:30,18:49,18:57,19:20
,BP_3.4,Broadpark,3,4,,,,227,44.07,12/09/2023,17:35,17:53,18:08,18:31
,BC_A_S,Broad Cliff A,N/A,S,,,,N/A,N/A,,,,,
,BC_A_C,Broad Cliff A,N/A,C,,,,170,56.75,,,,,
,BC_A_1.1 ,Broad Cliff A,1,1,,,,140,63.2,22/09/2023,11:45,11:59,12:40,13:00
,BC_A_1.2,Broad Cliff A,1,2,,,,117,28.84,26/09/2023,09:34,09:50,10:00,10:16
,BC_A_2.1,Broad Cliff A,2,1,,,,331,58.29,15/08/2023,13:26,13:41,13:51,14:04
Y,BC_A_2.2,Broad Cliff A,2,2,,,,125,21.54,15/08/2023,14:16,14:35,14:45,15:12
,BC_A_2.3,Broad Cliff A,2,3,,,,222,11.46,13/09/2023,12:55,13:05,13:20,13:36
,BC_A_2.4,Broad Cliff A,2,4,,,,310,47.53,13/09/2023,13:44,14:02,14:17,14:45
,BC_A_2.5,Broad Cliff A,2,5,,,,117,45.48,13/09/2023,14:50,15:05,15:19,15:30
,BC_A_3.1,Broad Cliff A,3,1,,,,173,15.88,29/08/2023,17:43,17:58,18:09,18:38
,BC_A_3.2,Broad Cliff A,3,2,,,,116,27.3,26/09/2023,16:41,17:05,17:09,17:30
,BC_A_3.3,Broad Cliff A,3,3,,,,31,24.9,26/09/2023,17:33,17:52,18:04,18:20
,BC_B_S,Broad Cliff B,N/A,S,,,,N/A,N/A,,,,,
,BC_B_C,Broad Cliff B,N/A,C,,,,192,114.51,,,,,
,BC_B_C.5,Broad Cliff B,N/A,C from BC_A_C,,,,211,65.85,,,,,
,BC_B_1.1 ,Broad Cliff B,1,1,,,,321,57.27,13/09/2023,11:40,12:10,12:19,12:36
,BC_B_1.2,Broad Cliff B,1,2,,,,160,32.28,26/09/2023,10:29,10:45,10:53,11:15
Y,BC_B_2.1,Broad Cliff B,2,1,,,,197,12.19,11/09/2023,12:50,13:20,13:31,13:49
,BC_B_2.2,Broad Cliff B,2,2,,,,305,35.73,11/09/2023,14:04,14:24,14:36,15:30
Y,BC_B_2.3,Broad Cliff B,2,3,,,,44,0.65,26/09/2023,14:25,14:41,14:53,16:13
,BC_B_2.4,Broad Cliff B,2,4,,,,301,44.69,26/09/2023,14:55,15:16,15:25,16:29
,BC_B_2.10,Broad Cliff B,2,10,,,,83,17.18,05/08/2023,13:20,13:35,13:45,14:25
,BC_B_3.1,Broad Cliff B,3,1,,,,110,21.51,09/09/2023,16:30,16:45,17:05,18:06
,BC_B_3.2,Broad Cliff B,3,2,,,,145,60.73,05/08/2023,14:45,15:00,15:08,15:32
,BC_B_3.3,Broad Cliff B,3,3,,,,141,43.38,11/08/2023,15:32,15:47,16:03,16:38
,BC_B_3.4,Broad Cliff B,3,4,,,,333,12.63,18/09/2023,17:14,17:34,17:47,18:13
,BC_C_S,Broad Cliff C,N/A,S,,,,N/A,N/A,,,,,
,BC_C_C,Broad Cliff C,N/A,C,,,,322,65.64,,,,,
Y,BC_C_1.1 ,Broad Cliff C,1,1,,,,290,20.71,26/09/2023,11:20,11:37,11:40,12:39
,BC_C_1.2,Broad Cliff C,1,2,,,,210,23.94,26/09/2023,11:42,11:58,12:18,12:30
,BC_C_2.1,Broad Cliff C,2,1,,,,47.21,119,19/08/2023,13:17,13:38,13:47,14:09
,BC_C_2.2,Broad Cliff C,2,2,,,,51.9,308,19/08/2023,14:32,14:59,15:11,15:28
,BC_C_2.3,Broad Cliff C,2,3,,,,40.59,301,18/09/2023,14:18,14:39,14:50,15:52
,BC_C_2.4,Broad Cliff C,2,4,,,,28.52,85,18/09/2023,14:55,15:11,15:13,16:35
,BC_C_2.5,Broad Cliff C,2,5,,,,91,35.5,26/09/2023,13:06,13:21,13:35,14:09
Y,BC_C_3.1,Broad Cliff C,3,1,,,,146,47.9,15/08/2023,16:40,16:56,17:05,17:35
,BC_C_3.2,Broad Cliff C,3,2,,,,107,15.15,22/09/2023,15:15,16:50,17:04,17:38
Y,BC_C_3.3,Broad Cliff C,3,3,,,,157,20.8,22/09/2023,17:45,18:01,18:05,18:15
,M_S,Monacre,N/A,S,,,,N/A,N/A,,,,,
,M_C,Monacre,N/A,C,,,,88,49.78,,,,,
,M_1.1 ,Monacre,1,1,,,,96,6.76,25/09/2023,11:02,11:20,11:30,13:40
Y,M_1.5,Monacre,1,5,,,,250,39.42,25/09/2023,11:31,11:46,12:00,12:45
,M_2.1,Monacre,2,1,,,,(from gate) 221,(From gate) 56.67,22/09/2023,14:11,14:30,14:40,16:20
Y,M_2.2,Monacre,2,2,,,,248,22.32,22/09/2023,14:40,15:04,15:20,15:41
,M_2.3,Monacre,2,3,,,,124,52.35,25/09/2023,14:20,14:35,14:40,16:59
,M_2.4,Monacre,2,4,,,,112,23.22,25/09/2023,13:52,14:08,14:17,16:29
,M_2.5,Monacre,2,5,,,,(FG) 212,60.23,25/09/2023,14:43,14:59,15:06,16:10
,M_3.2,Monacre,3,2,,,,250,23.96,02/09/2023,13:00,13:20,13:31,13:49
,M_3.3,Monacre,3,3,,,,124,53.04,02/09/2023,13:59,14:19,14:30,14:58
Y,M_3.6,Monacre,3,6,,,,293,31.91,25/09/2023,17:25,17:40,17:51,18:16
,M_3.1,Monacre,3,1,,,,56.03,108,23/08/2023,18:36,18:52,17:15,17:46
